,lon,lat,alt,NAME,population,area,density
221,120.21,23.791,4,雲林縣麥寮鄉,45665,80.1668,570
222,120.29,23.811,10,雲林縣麥寮鄉,45665,80.1668,570
223,120.27,23.821,4,雲林縣麥寮鄉,45665,80.1668,570
224,120.3,23.811,9,雲林縣麥寮鄉,45665,80.1668,570
225,120.17,23.781,0,雲林縣麥寮鄉,45665,80.1668,570
226,120.18,23.781,4,雲林縣麥寮鄉,45665,80.1668,570
227,120.252,23.758,5,雲林縣麥寮鄉,45665,80.1668,570
228,120.22,23.801,4,雲林縣麥寮鄉,45665,80.1668,570
229,120.29,23.821,8,雲林縣麥寮鄉,45665,80.1668,570
230,120.19,23.761,1,雲林縣麥寮鄉,45665,80.1668,570
231,120.2,23.801,4,雲林縣麥寮鄉,45665,80.1668,570
232,120.21,23.821,5,雲林縣麥寮鄉,45665,80.1668,570
233,120.28,23.781,6,雲林縣麥寮鄉,45665,80.1668,570
234,120.24,23.811,4,雲林縣麥寮鄉,45665,80.1668,570
235,120.18,23.761,4,雲林縣麥寮鄉,45665,80.1668,570
236,120.28,23.811,8,雲林縣麥寮鄉,45665,80.1668,570
237,120.25,23.831,2,雲林縣麥寮鄉,45665,80.1668,570
238,120.23,23.831,0,雲林縣麥寮鄉,45665,80.1668,570
239,120.21,23.831,0,雲林縣麥寮鄉,45665,80.1668,570
240,120.18,23.771,4,雲林縣麥寮鄉,45665,80.1668,570
241,120.25,23.781,4,雲林縣麥寮鄉,45665,80.1668,570
242,120.19,23.771,3,雲林縣麥寮鄉,45665,80.1668,570
243,120.21,23.801,4,雲林縣麥寮鄉,45665,80.1668,570
244,120.21,23.771,1,雲林縣麥寮鄉,45665,80.1668,570
245,120.23,23.821,3,雲林縣麥寮鄉,45665,80.1668,570
246,120.28,23.751,6,雲林縣麥寮鄉,45665,80.1668,570
247,120.23,23.841,0,雲林縣麥寮鄉,45665,80.1668,570
248,120.2,23.771,2,雲林縣麥寮鄉,45665,80.1668,570
249,120.24,23.831,6,雲林縣麥寮鄉,45665,80.1668,570
